Part Number,Assembly Group,Description,File Name,Format,Mesh Refinement,Notes
HUB-001,Center Hub Assembly,Center Hub Top,HUB-001_Center-Hub-Top.stl,STL (Binary),Medium,
HUB-002,Center Hub Assembly,Center Hub Middle,HUB-002_Center-Hub-Middle.stl,STL (Binary),Medium,
HUB-003,Center Hub Assembly,Center Hub Bottom,HUB-003_Center-Hub-Bottom.stl,STL (Binary),Medium,
JNT-001,Joint Assembly,Base Joint,JNT-001_Base-Joint.stl,STL (Binary),Medium,
JNT-002,Joint Assembly,Top Joint Part A,JNT-002_Top-Joint_Part-A.stl,STL (Binary),Medium,
JNT-003,Joint Assembly,Top Joint Part B,JNT-003_Top-Joint_Part-B.stl,STL (Binary),Medium,
LEG-001,Stand Leg Assembly,Stand Leg Part A,LEG-001_Stand-Leg_Part-A.stl,STL (Binary),Medium,
LEG-002,Stand Leg Assembly,Stand Leg Part B,LEG-002_Stand-Leg_Part-B.stl,STL (Binary),Medium,
LEG-003,Stand Leg Assembly,Stand Leg Part C,LEG-003_Stand-Leg_Part-C.stl,STL (Binary),Medium,
LEG-004,Stand Leg Assembly,Stand Leg Part D,LEG-004_Stand-Leg_Part-D.stl,STL (Binary),Medium,
MNT-001,Mount Assembly,Wing Mount,MNT-001_Wing-Mount.stl,STL (Binary),Medium,
MNT-002,Mount Assembly,Top Secondary Mount Part A,MNT-002_Top-Secondary-Mount_Part-A.stl,STL (Binary),Medium,
MNT-003,Mount Assembly,Top Secondary Mount Part B,MNT-003_Top-Secondary-Mount_Part-B.stl,STL (Binary),Medium,
WNG-001,Wing Assembly,Wing Top Panel,WNG-001_Wing-Top-Panel.stl,STL (Binary),Medium,
WNG-002,Wing Assembly,Wing Middle Panel,WNG-002_Wing-Middle-Panel.stl,STL (Binary),Medium,
WNG-003,Wing Assembly,Wing Bottom Panel,WNG-003_Wing-Bottom-Panel.stl,STL (Binary),Medium,
